Code_ID	Stream	Location	Lat_degree	Long_degree	Source	Day	Month	Year	Fish_number	SA_m2	TP_mg.l	TN_mg.l	Temp_degree_celcius	Prec_mm	Alt_m	IMPRESS
1	Ebro	Miranda de Ebro	42.68728233	-2.954187283	CHE	18	10	2007	74	698	0.1	8.38	12.5	727	454.68	2
2	Arga	Funes	42.30100325	-1.789143327	CHE	8	7	2007	143	415	0.24	10.93	13.6	576	279.1	10.5
3	Aragon	Caparroso	42.34471193	-1.650659428	CHE	27	8	2007	70	575	0.1	8.35	13.4	625	300.01	10.65
4	Martin	Hijar	41.17389714	-0.456684781	CHE	25	10	2007	68	358	0.13	13.1	14.6	371	294.61	10.75
5	Guadalope	Alcaniz	40.93276673	-0.196696791	CHE	24	10	2006	54	887	0.11	10.33	14.3	431	383.92	10.25
6	Aragon	Jaca	42.57834009	-0.55689434	CHE	23	7	2007	125	627	0.24	1	9.8	767	776.42	3.75
7	Aragon	Castiello de Jaca	42.57834009	-0.55689434	CHE	23	7	2007	101	627	0.24	1	9.5	805	838.02	3.75
8	Segre	Seo de Urgell	42.35711018	1.500086812	CHE	8	7	2003	158	100	0.1	2.05	11.4	758	702.49	8.75
9	Najerilla	Torremontalbo	42.49673501	-2.686992075	CHE	13	7	2007	187	646	0.16	5.58	12.9	575	420.92	10.1
10	Tiron	Cuzcurrita	42.53679502	-2.977690624	CHE	17	10	2007	76	780	0.11	21.03	12.2	644	527.42	7.8
11	Irati	Liedena	42.60375542	-1.276314545	CHE	21	7	2007	172	519	0.1	3.47	12.1	824	399.45	10.65
12	Araquil	Asiain	42.8339168	-1.789827371	CHE	18	7	2007	110	546	0.14	3.83	12.4	1027	392.41	9.4
13	Jalon	Grisen	41.74553721	-1.141600517	CHE	20	10	2007	102	737	0.16	18.28	14.3	373	234.39	10.85
14	Nela	Trespaderne	42.80857972	-3.397842647	CHE	30	9	2007	120	691	0.11	9.64	11.7	798	537.33	4.7
15	Oca	Ona	42.73549072	-3.430469302	CHE	1	10	2007	185	937	0.14	19.1	11.7	752	584.7	5.65
16	Vero	Barbastro	42.04114465	0.113901391	CHE	25	9	2007	72	796	1.05	5.83	12.8	493	327.29	10.1
17	Noguera Ribagorzana	Canal de Pinana	41.86760544	0.577310359	CHE	2	7	2003	42	926	0.06	2.21	13.9	499	296.14	10
18	Aragon	Yesa	42.61555604	-1.211356843	CHE	25	8	2007	88	749	0.1	2.1	12.2	813	430.24	10.65
19	Guadalope	Santolea	40.81180413	-0.271776462	CHE	25	10	2007	190	1014	0.1	1.63	13.6	446	517.48	8.45
20	Ebro	Sastago	41.32534122	-0.364526337	CHE	27	8	2005	144	1200	0.2	16.74	15.3	358	139.44	10.1
21	Arga	Huarte	42.85174573	-1.581831592	CHE	20	7	2007	235	641	0.1	2.3	12	1067	455.68	7.5
22	Ebro	Cereceda	42.77600412	-3.458853563	CHE	1	10	2007	206	1200	0.1	5.44	11.8	771	556.97	9.4
23	Bayas	Miranda de Ebro	42.70214709	-2.929634517	CHE	15	10	2007	77	398	0.1	7.4	12.4	739	460.3	10.15
24	Jerea	Palazuelos de Cuesta Urria	42.79469607	-3.355994989	CHE	30	9	2007	217	842	0.1	10.2	11.8	790	555.59	3.45
25	Matarrana	Nonaspe	41.21538969	0.225290806	CHE	19	6	2003	109	729	0.08	11.1	15.4	427	151.28	9.4
26	Oroncillo	Oron	42.67074598	-2.97741091	CHE	16	10	2007	121	451	0.14	31.39	12.3	720	487.11	4.7
27	Leza	Ribafrecha	42.35360807	-2.383785465	CHE	10	7	2007	142	725	0.1	1.97	12.8	481	471.86	4.05
28	Ebro	Haro	42.58415748	-2.835417008	CHE	18	10	2007	42	804	0.21	11.33	12.7	654	438.28	10
29	Ebro	Presa Pina	41.564826	-0.689123976	CHE	7	8	2005	91	710	0.32	17.86	14.9	351	174.7	10.35
30	Ebro	Villafranca de Ebro	41.564826	-0.689123976	CHE	7	8	2005	39	710	0.32	17.86	14.9	349	168.89	10.35
