Code_ID	Stream	Location	Family	Genus	Species	Scientific_name	Length_mm	Mass_g
1	Ebro	Miranda de Ebro	Cyprinidae	Cyprinus	carpio	Cyprinus carpio	442	1700
1	Ebro	Miranda de Ebro	Cyprinidae	Cyprinus	carpio	Cyprinus carpio	405	1220
1	Ebro	Miranda de Ebro	Cyprinidae	Cyprinus	carpio	Cyprinus carpio	373	1040
1	Ebro	Miranda de Ebro	Cyprinidae	Cyprinus	carpio	Cyprinus carpio	199	139.9
1	Ebro	Miranda de Ebro	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	225	133
1	Ebro	Miranda de Ebro	Cyprinidae	Cyprinus	carpio	Cyprinus carpio	180	113.9
1	Ebro	Miranda de Ebro	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	130	28
1	Ebro	Miranda de Ebro	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	115	22
1	Ebro	Miranda de Ebro	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	105	19
1	Ebro	Miranda de Ebro	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	110	19
1	Ebro	Miranda de Ebro	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	110	16.2
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	101	15.8
1	Ebro	Miranda de Ebro	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	104	14.6
1	Ebro	Miranda de Ebro	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	90	10.5
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	88	9.9
1	Ebro	Miranda de Ebro	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	92	9.7
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	90	9.6
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	91	7.8
1	Ebro	Miranda de Ebro	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	88	7
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	79	6.8
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	81	6.8
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	78	6.6
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	75	6.5
1	Ebro	Miranda de Ebro	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	79	6.5
1	Ebro	Miranda de Ebro	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	78	6.3
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	75	6.1
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	78	6
1	Ebro	Miranda de Ebro	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	77	6
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	72	5.9
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	75	5.8
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	75	5.8
1	Ebro	Miranda de Ebro	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	78	5.7
1	Ebro	Miranda de Ebro	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	78	5.7
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	74	5.7
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	72	5.6
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	76	5.4
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	75	5.2
1	Ebro	Miranda de Ebro	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	75	5.2
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	75	5.2
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	71	4.7
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	72	4.5
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	66	4.4
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	73	4.4
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	70	4.2
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	72	4.2
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	60	3.6
1	Ebro	Miranda de Ebro	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	70	3.6
1	Ebro	Miranda de Ebro	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	68	3.6
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	65	3.4
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	65	3.3
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	69	3.2
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	63	3.2
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	65	3.2
1	Ebro	Miranda de Ebro	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	62	2.9
1	Ebro	Miranda de Ebro	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	62	2.9
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	61	2.7
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	63	2.7
1	Ebro	Miranda de Ebro	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	62	2.6
1	Ebro	Miranda de Ebro	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	55	2.4
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	58	2.1
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	55	1.9
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	52	1.8
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	54	1.8
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	54	1.5
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	49	1.5
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	46	1
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	45	1
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	48	1
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	39	0.6
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	39	0.6
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	33	0.4
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	28	0.3
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	29	0.2
1	Ebro	Miranda de Ebro	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	27	0.2
2	Arga	Funes	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	32	0.3
2	Arga	Funes	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	34	0.3
2	Arga	Funes	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	31	0.3
2	Arga	Funes	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	33	0.3
2	Arga	Funes	Leuciscidae	Achondrostoma	arcasii	Achondrostoma arcasii	30	0.2
2	Arga	Funes	Leuciscidae	Achondrostoma	arcasii	Achondrostoma arcasii	28	0.2
2	Arga	Funes	Leuciscidae	Achondrostoma	arcasii	Achondrostoma arcasii	28	0.2
2	Arga	Funes	Leuciscidae	Achondrostoma	arcasii	Achondrostoma arcasii	32	0.2
2	Arga	Funes	Leuciscidae	Achondrostoma	arcasii	Achondrostoma arcasii	29	0.2
2	Arga	Funes	Nemacheilidae	Barbatula	quignardi	Barbatula quignardi	35	0.2
2	Arga	Funes	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	27	0.2
2	Arga	Funes	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	32	0.2
2	Arga	Funes	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	33	0.2
2	Arga	Funes	Leuciscidae	Achondrostoma	arcasii	Achondrostoma arcasii	29	0.1
2	Arga	Funes	Leuciscidae	Achondrostoma	arcasii	Achondrostoma arcasii	23	0.1
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	30	0.1
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	29	0.1
2	Arga	Funes	Leuciscidae	Achondrostoma	arcasii	Achondrostoma arcasii	28	0.2
2	Arga	Funes	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	23	0.1
2	Arga	Funes	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	24	0.1
2	Arga	Funes	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	27	0.1
2	Arga	Funes	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	86	9.4
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	87	9.3
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	88	8.9
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	90	8.8
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	85	8.6
2	Arga	Funes	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	83	8.6
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	89	8.5
2	Arga	Funes	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	82	8
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	85	7.4
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	27	0.1
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	80	6.9
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	78	6.6
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	77	6.3
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	76	6.3
2	Arga	Funes	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	76	6.3
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	80	6.2
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	78	6
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	78	5.7
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	76	5.7
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	75	5.6
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	73	5.5
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	75	5.5
2	Arga	Funes	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	72	5.3
2	Arga	Funes	Leuciscidae	Phoxinus	phoxinus	Phoxinus phoxinus	74	5.2
2	Arga	Funes	Cyprinidae	Luciobarbus	graellsii	Luciobarbus graellsii	70	5.1
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	75	5
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	71	5
2	Arga	Funes	Cyprinidae	Gobio	lozanoi	Gobio lozanoi	72	4.7
